,Product Name,Brand Name,Price,Rating,Reviews,Review Votes
401500,Studio 7.0 LTE - Smartphone - GSM Unlocked - White,BLU,,5,"I LOVE this Smartphone(Phablet)! I have high end cellphones such as iPhone 6plus & samsung note Edge. I am not seeing any lag time between apps. Fairly responsive. Only delay I found was when opened multi windows at once, then it took couple seconds to catch up. Camera actually not that horrible, had to download different camera app, so I could use front camera app. I bought a external flash attachment and that improved camera quality quiet a bit. I am impressed with the size of this. It's a lot skinner than I expected. I took a photo so you could get a size comparison between iPhone 6plus and this. I also took a photo of my dog in the evening with the external flash that plugs into my earbud port. The front photos so, so, but actually usable with me using external flash to take a selfie. The sound quality is really good!! When I called or listen it came across clear and loud. Same with the music!! Only thing I wish it had was better ways to control loudness!! I had no issues or problem getting 4g/H+ to work. I loaded my books, had to twik the size and font to fit the screen, but not a big issue. Also movies play great, no lag time, even with netflix! For 200 dollars, it is worth every penny!! I even sold my cellphone to buy this!",70.0
359506,"Samsung Galaxy S5, White (Verizon Wireless) Certified Pre-owned",Samsung,249.99,2,"Bought this phone last August, at first it seemed like a great deal. My S4 had a cracked screen and it was starting to have problems with the touch sensitivity.After a few months of having this phone I started having issues with lagging and freezing.I make sure to not overload the phone with apps, photos, etc. The phone lags with apps, internet, even with non-data or wifi related functions like texts and the camera.The phone will often lock up and will act like it's restarted, even though I didn't restart it.Very frustrated. From now on will only buy new electronics. Buying refurbished is too much of a risk.",0.0
337690,Samsung Galaxy S2 Skyrocket I727 16GB Unlocked GSM 4G LTE Smartphone w/ 8MP Camera - White,Samsung,69.99,1,"The phone upon arrival will not keep correct time, and the battery life is very short. Two things important for a phone.",1.0
404695,"Unlocked Samsung S5570 Galaxy Mini Touchscreen, Wi-Fi, 3G, Android International Smart Phone in Chic White",Samsung,74.99,5,Very Good,0.0
294507,"Posh Mobile Icon Pro HD X551 GSM Unlocked 4G HSDPA+ 16GB, 5.5-Inch LCD Android Quad Core Smartphone (Rose Gold)",Posh Mobile,79.99,2,It wouldn't keep a signal at all I had to keep restarting it so I could use it for a few minutes then it would loose signal again.. I tried and tried thinking it was my provider(cricket) but after some research I found out it was not a 4g lte phone. But a lower grade and the reason it wouldn't keep a signal is because it was Trying to find a tower that supported it that wasn't lte. So after all this and extreme disappointment because I really liked the phone it was pretty and big ( front camera kinda sucked) but it had pretty good features. I just had to return it.,0.0
312674,Samsung Galaxy Grand Prime DUOS G531H/DS - Gold (International Version),Samsung,179.99,3,"Nice phone, wrong charger",0.0
19122,Apple iPhone 5 16GB (White) - T-Mobile,Apple,136.99,5,Smooth.,0.0
254613,"Motorola Moto X (2nd generation) Unlocked Cellphone, 16GB, White/Bamboo",Motorola,109.0,5,All was perfect!,1.0
92239,"Blackberry Curve 8520 Gemini SmartPhone Unlocked with 2 MP Camera, Bluetooth, Wi-Fi, E-mail-- International Version with No Warranty (Frost Blue)",BlackBerry,39.99,1,"I purchased 2 phones which supposed to be new. One of them worked fine, the second one was not new. It was damaged. The SIM Card holder was missing a contact. The phone was not unlocked. I contacted the vendor's direct phone line and they never got back with me. I already spent $75.00 in getting it to work. I am currently in the Dominican Republic where I brought both phones as a gift to relatives. I will be back in the US this Saturday and will write a detail review. Again this was the worst online purchase I ever made.",10.0
63761,"Apple iPhone 6, Silver, 64 GB (Sprint)",Apple,580.0,5,Great phone,0.0
45019,Apple iPhone 5s 32GB (Silver) - AT&T,Apple,43.95,5,I am completely satisfied with my purchase. I received my phone in a timely manner and it was so simple to get set up on a phone plan!,
151515,BLU Studio C Super Camera -Unlocked Smartphone - US GSM- Orange,BLU,99.84,2,"This phone SUCKS!!! it's cheap, scratched all to hell within the first week. Seen broke within the first 2 weeks. It's just built poorly. The camera is not all its trumped up to be. The phone is so cheaply made I'm very disappointed in the Blu company. I was hoping for miracle affordable good quality unlocked phone company. Did not get that with this Blu phone at all!!#",0.0
197287,HTC One X Unlocked GSM Android SmartPhone - No Warranty (White) with Beats Audio,HTC,89.5,1,"First off I can say that this is a really great phone, large screen, great reponse time, and very sleek looking. i purchased this phone originally hoping it would be new. When I recieved it I could tell it was a refurbished phone then on top of that the power button doesn't work.Not only did I pay, and was promised, a new phone. I recieved a used and broken one for a new phone price. I have tried to contact the seller AEG wireless numerous times for a refund but they have not answer back any of my emails. I have now contacted amazon about the matter and luckily I work at amazon so I know the matter will be dealt with. Bottom line... Do not buy from AEG wireless, they are so unprofessional.",16.0
