,Product Name,Brand Name,Price,Rating,Reviews,Review Votes
407671,Verizon LG VX8300 No Contract Camera Cell Phone,LG,12.44,5,"This is probably one of the best cell phones ever made. It fits in my pocket, can take a picture if needed, and can text. I do NOT live attached to my cell; so am relieved to have a replacement for my current phone which I have had for over a decade. This way if I lose my current hone or it finally gives up the ghost, I DON""T have to get a newer, ""smarter"" one.",0.0
311206,Samsung Galaxy Grand Prime Dual Sim Factory Unlocked Phone - Retail Packaging - Gold(International Version),Samsung,194.9,1,This phone sucks. Freezes up a lot and won't load web pages. I regret buying it.,1.0
266767,"Nokia Lumia 1020 32GB Unlocked GSM Phone w/ 41MP Camera 4.5"" - White - International Version, No Warranty",Nokia,296.0,5,"Excellent phone, so happy I bought one. So much you can do with this phone and the camera is awesome.",1.0
169442,"CNPGD [U.S. Office Extended Warranty] Weatherproof Smartwatch Touchscreen for iPhone Android Samsung Galaxy Note,Nexus,htc,Sony Black",CNPGD,29.99,4,"I like it, it is better then I expected",0.0
392984,"Sony Xperia Z Ultra C6833 Black (Factory Unlocked) LTE 800/850/900/1700/1800/1900/2100/2600 , 3G 850/1900/1700/900/2100 - International Version No Warranty",,450.83,5,"My favorite phone. G1, hd2, note2 and now xperia z ultra!",0.0
25868,Apple iPhone 5c 16GB (Yellow) - AT&T,Apple,248.0,5,Nice phone fast shipping,0.0
146739,BLU Studio C 5+5 Smartphone with Lollipop OS- US GSM Unlocked - Black,BLU,59.99,2,It worked great for a short time. Just long enough to get passed the 30 days to turn it. The first Blu phone I had a turned out to be the unluckyest phones I have had in 5 months I've had 4 of them .,0.0
375009,Samsung Galaxy S7 G930F 32GB Factory Unlocked GSM Smartphone International Version (Black) - NO WARRANTY,Samsung,514.99,5,Excelente,0.0
38212,"Apple iPhone 5c AT&T Cellphone, 16GB, Blue",Apple,124.0,5,"Perfect. Love it! Great price, and super fast shipping.",0.0
125686,BLU Life 8 XL Smartphone - Unlocked - Global GSM - White,BLU,125.99,1,"i hate it. Horrible phone, processor, and customer service. It says upgradeable to Lollipop, but when i call customer service 7 times, finally someone from overseas (even though the HQ is in Florida) picked up and started giving me unskilled excuses of why it is NOT upgradeable to lollipop currently because ""lollipop has issues and BLU is waiting for google to fix those issues."" When i repeatedly asked when they expect lollipop to be released for BLU, the customer service guy throws out out an uniformed guess of ""30 days"". That means, i will be stuck with the phone if they don't release it in 30 days because the return policy is only 30 days. Even though the prices is nice, the phone is horrible. I guess you do get what you pay for................sad case.Some issues experiencing: Phone restarts by itself without me pushing buttons; processor extremely slow that it takes about 30 to 50 seconds to capture a picture or send a message - this makes it much worse because user assumes he/she didn't take pic or send text, thus repeats the same action several times and freezes the phone. Screen UNRESPONSIVE to tough. VERY CHEAP plastic casing and parts. Phone is incapable of multitasking with multiple apps open.",2.0
217103,"LG G2 Mini D620R Unlocked Cellphone, International Version, 8GB, Black",LG,199.0,3,"this phone 4g Lte says it works and when placed in line Digitel Venezuela 1800 band, does not work, only 2g and 3g apart the charger malfunctions",0.0
162142,BLU Vivo Air LTE Factory Unlocked Phone - Retail Packaging - White,BLU,429.99,4,"very nice screen but battery thirsty, good processor and internal memory for day to day use, camera not so good",0.0
74273,Apple iPhone SE Unlocked Phone - 64 GB Retail Packaging - Gold,Apple,500.0,5,It's a great iPhone at a great price. Love it!,0.0
199802,"Huawei Ascend Mate 7 Factory Unlocked Cellphone, 16GB, White",HUAWEI,299.99,5,Good,0.0
